timestamp,queries_num,queries_requested,errors_occurred,iter_errors_occurred,average_latency,99_9_latency_percentile,mean_rate,one_minute_rate,five_minute_rate,fifteen_minute_rate,total_connections,connection_timeouts,requests_timeouts,count,min,max,mean,std_dev,median,75th_percentile,95th_percentile,98th_percentile,99th_percentile,99_9th_percentile,d_min,d_max,d_mean,d_std_dev,d_median,d_75th_percentile,d_95th_percentile,d_98th_percentile,d_99th_percentile,d_99_9th_percentile,w_min,w_max,w_mean,w_std_dev,w_median,w_75th_percentile,w_95th_percentile,w_98th_percentile,w_99th_percentile,w_99_9th_percentile
1770421268,57648,0,0,0,11,1,2.490189104254634,2.5041642570745513,2.5008333248925645,2.500277335179299,2,1324,0,57648,7,562,11.726391201776265,16.44300122921621,9,10,17,31,65,247.0183333333407,8,34,9.553668478260859,1.238340644908756,9,10,11,11,14,31.5829999999994,9,15,9.783333333333328,0.8517474987111836,10,10,11,13.319999999999936,14,15
1770421269,57651,0,0,0,11,1,2.4902112108393797,2.495835742925454,2.4991666966257577,2.4997217835007417,2,1324,0,57651,7,562,11.726284019357827,16.442580456541084,9,10,17,31,65,247.01533333333646,8,34,9.553898305084733,1.2372730894705206,9,10,11,11,14,31.573999999999614,9,15,9.786666666666667,0.8506276782739364,10,10,11,13.319999999999936,14,15
1770421270,57653,0,0,0,11,1,2.4901900353528243,2.495835742925454,2.4991666966257577,2.4997217835007417,2,1324,0,57653,7,562,11.726189443740969,16.442303090693493,9,10,17,31,65,247.01333333333605,8,34,9.553148273527407,1.2366024188732654,9,10,11,11,14,31.567999999999756,9,15,9.783333333333328,0.8517474987111836,10,10,11,13.319999999999936,14,15
1770421271,57656,0,0,0,11,1,2.4902118475346997,2.495835742925454,2.4991666966257577,2.4997217835007417,2,1324,0,57656,7,562,11.726064936866901,16.441884719943868,9,10,17,31,65,247.01033333333908,8,34,9.552702702702689,1.2355696305044936,9,10,11,11,14,31.558999999999287,9,15,9.77666666666666,0.8539435701255385,10,10,11,13.319999999999936,14,15
1770421272,57658,0,0,0,11,1,2.490190644385509,2.495835742925454,2.4991666966257577,2.4997217835007417,2,1324,0,57658,7,562,11.725970377050853,16.441607389288244,9,10,17,31,65,247.00833333333867,8,34,9.551956815114696,1.2349018843212531,9,10,11,11,14,31.55299999999943,9,15,9.773333333333332,0.8550199330084036,10,10,11,13.319999999999936,14,15
1770421273,57661,0,0,0,11,1,2.490212902673494,2.495835742925454,2.4991666966257577,2.4997217835007417,2,1324,0,57661,7,562,11.72582854962623,16.44119141958831,9,10,17,31,65,247.0053333333417,8,34,9.550841750841737,1.2339021244422643,9,10,11,11,14,31.54399999999964,9,15,9.763333333333335,0.858162980573218,10,10,11,13.319999999999936,14,15
1770421274,57663,0,0,0,11,1,2.490191708286938,2.5041642570745513,2.500833324536898,2.5002773400619454,2,1324,0,57663,7,562,11.725734006208453,16.440914123975645,9,10,17,31,65,247.0033333333413,8,34,9.55010087424343,1.2332368544654704,9,10,11,11,14,31.537999999999784,9,15,9.756666666666675,0.8601871668979229,10,10,11,13.319999999999936,14,15
1770421275,57666,0,0,0,11,1,2.4902135496572204,2.5041642570745513,2.500833324536898,2.5002773400619454,2,1324,0,57666,7,562,11.725644227100858,16.440491164044538,9,10,17,31,65,247.00033333333704,8,34,9.55100671140938,1.2321590441017116,9,10,11,11,14,31.528999999999314,9,15,9.753333333333336,0.85728564930477,10,10,11,13.319999999999936,14,15
1770421276,57668,0,0,0,11,1,2.4901923177894822,2.5041642570745513,2.500833324536898,2.5002773400619454,2,1324,0,57668,7,562,11.725567038912363,16.440211556399657,9,10,17,31,64.98333333333721,246.99833333333663,8,34,9.550938337801592,1.23146994832183,9,10,11,11,14,31.522999999999456,9,15,9.753333333333336,0.85728564930477,10,10,11,13.319999999999936,14,15
1770421277,57671,0,0,0,11,1,2.490214557193378,2.5041642570745513,2.500833324536898,2.5002773400619454,2,1324,0,57671,7,562,11.725459936536529,16.439790998039488,9,10,17,31,64.95333333333838,246.99533333333966,8,34,9.551170568561856,1.2304251644633752,9,10,10.899999999999864,11,14,31.51399999999967,9,15,9.756666666666675,0.8562902538772543,10,10,11,13.319999999999936,14,15
1770421278,57673,0,0,0,11,1,2.49019337426124,2.5041642570745513,2.500833324536898,2.5002773400619454,2,1324,0,57673,7,562,11.725382761430794,16.43951142614517,9,10,17,31,64.9333333333343,246.99333333333925,8,34,9.551102204408801,1.2297397341491159,9,10,10.799999999999727,11,14,31.50799999999981,9,15,9.740000000000002,0.8213700928518388,10,10,10.649999999999977,11.659999999999968,14,15
